Series ID,Year,Period,Label,Value
JTS000000000000000OSL,2006,M01,2006 Jan,331
JTS000000000000000OSL,2006,M02,2006 Feb,384
JTS000000000000000OSL,2006,M03,2006 Mar,397
JTS000000000000000OSL,2006,M04,2006 Apr,423
JTS000000000000000OSL,2006,M05,2006 May,435
JTS000000000000000OSL,2006,M06,2006 Jun,412
JTS000000000000000OSL,2006,M07,2006 Jul,430
JTS000000000000000OSL,2006,M08,2006 Aug,368
JTS000000000000000OSL,2006,M09,2006 Sep,381
JTS000000000000000OSL,2006,M10,2006 Oct,410
JTS000000000000000OSL,2006,M11,2006 Nov,380
JTS000000000000000OSL,2006,M12,2006 Dec,367
JTS000000000000000OSL,2007,M01,2007 Jan,386
JTS000000000000000OSL,2007,M02,2007 Feb,369
JTS000000000000000OSL,2007,M03,2007 Mar,357
JTS000000000000000OSL,2007,M04,2007 Apr,367
JTS000000000000000OSL,2007,M05,2007 May,325
JTS000000000000000OSL,2007,M06,2007 Jun,353
JTS000000000000000OSL,2007,M07,2007 Jul,378
JTS000000000000000OSL,2007,M08,2007 Aug,335
JTS000000000000000OSL,2007,M09,2007 Sep,317
JTS000000000000000OSL,2007,M10,2007 Oct,328
JTS000000000000000OSL,2007,M11,2007 Nov,367
JTS000000000000000OSL,2007,M12,2007 Dec,356
JTS000000000000000OSL,2008,M01,2008 Jan,313
JTS000000000000000OSL,2008,M02,2008 Feb,343
JTS000000000000000OSL,2008,M03,2008 Mar,361
JTS000000000000000OSL,2008,M04,2008 Apr,372
JTS000000000000000OSL,2008,M05,2008 May,294
JTS000000000000000OSL,2008,M06,2008 Jun,294
JTS000000000000000OSL,2008,M07,2008 Jul,285
JTS000000000000000OSL,2008,M08,2008 Aug,370
JTS000000000000000OSL,2008,M09,2008 Sep,346
JTS000000000000000OSL,2008,M10,2008 Oct,368
JTS000000000000000OSL,2008,M11,2008 Nov,372
JTS000000000000000OSL,2008,M12,2008 Dec,309
JTS000000000000000OSL,2009,M01,2009 Jan,308
JTS000000000000000OSL,2009,M02,2009 Feb,301
JTS000000000000000OSL,2009,M03,2009 Mar,311
JTS000000000000000OSL,2009,M04,2009 Apr,324
JTS000000000000000OSL,2009,M05,2009 May,278
JTS000000000000000OSL,2009,M06,2009 Jun,288
JTS000000000000000OSL,2009,M07,2009 Jul,283
JTS000000000000000OSL,2009,M08,2009 Aug,311
JTS000000000000000OSL,2009,M09,2009 Sep,304
JTS000000000000000OSL,2009,M10,2009 Oct,308
JTS000000000000000OSL,2009,M11,2009 Nov,279
JTS000000000000000OSL,2009,M12,2009 Dec,300
JTS000000000000000OSL,2010,M01,2010 Jan,317
JTS000000000000000OSL,2010,M02,2010 Feb,343
JTS000000000000000OSL,2010,M03,2010 Mar,310
JTS000000000000000OSL,2010,M04,2010 Apr,299
JTS000000000000000OSL,2010,M05,2010 May,349
JTS000000000000000OSL,2010,M06,2010 Jun,325
JTS000000000000000OSL,2010,M07,2010 Jul,317
JTS000000000000000OSL,2010,M08,2010 Aug,321
JTS000000000000000OSL,2010,M09,2010 Sep,318
JTS000000000000000OSL,2010,M10,2010 Oct,293
JTS000000000000000OSL,2010,M11,2010 Nov,331
JTS000000000000000OSL,2010,M12,2010 Dec,312
JTS000000000000000OSL,2011,M01,2011 Jan,342
JTS000000000000000OSL,2011,M02,2011 Feb,325
JTS000000000000000OSL,2011,M03,2011 Mar,315
JTS000000000000000OSL,2011,M04,2011 Apr,317
JTS000000000000000OSL,2011,M05,2011 May,320
JTS000000000000000OSL,2011,M06,2011 Jun,308
JTS000000000000000OSL,2011,M07,2011 Jul,322
JTS000000000000000OSL,2011,M08,2011 Aug,297
JTS000000000000000OSL,2011,M09,2011 Sep,296
JTS000000000000000OSL,2011,M10,2011 Oct,359
JTS000000000000000OSL,2011,M11,2011 Nov,316
JTS000000000000000OSL,2011,M12,2011 Dec,303
JTS000000000000000OSL,2012,M01,2012 Jan,332
JTS000000000000000OSL,2012,M02,2012 Feb,315
JTS000000000000000OSL,2012,M03,2012 Mar,326
JTS000000000000000OSL,2012,M04,2012 Apr,319
JTS000000000000000OSL,2012,M05,2012 May,331
JTS000000000000000OSL,2012,M06,2012 Jun,339
JTS000000000000000OSL,2012,M07,2012 Jul,357
JTS000000000000000OSL,2012,M08,2012 Aug,356
JTS000000000000000OSL,2012,M09,2012 Sep,337
JTS000000000000000OSL,2012,M10,2012 Oct,336
JTS000000000000000OSL,2012,M11,2012 Nov,347
JTS000000000000000OSL,2012,M12,2012 Dec,367
JTS000000000000000OSL,2013,M01,2013 Jan,388
JTS000000000000000OSL,2013,M02,2013 Feb,331
JTS000000000000000OSL,2013,M03,2013 Mar,331
JTS000000000000000OSL,2013,M04,2013 Apr,334
JTS000000000000000OSL,2013,M05,2013 May,371
JTS000000000000000OSL,2013,M06,2013 Jun,342
JTS000000000000000OSL,2013,M07,2013 Jul,345
JTS000000000000000OSL,2013,M08,2013 Aug,362
JTS000000000000000OSL,2013,M09,2013 Sep,325
JTS000000000000000OSL,2013,M10,2013 Oct,303
JTS000000000000000OSL,2013,M11,2013 Nov,346
JTS000000000000000OSL,2013,M12,2013 Dec,334
JTS000000000000000OSL,2014,M01,2014 Jan,319
JTS000000000000000OSL,2014,M02,2014 Feb,371
